epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.027765,0.021078,29.4761,0.8819
2,0.018813,0.017199,30.4753,0.9141
3,0.016898,0.016630,31.4156,0.9068
4,0.015267,0.016087,31.5132,0.9122
5,0.014081,0.013749,32.1963,0.9221
6,0.013142,0.013767,32.4486,0.9292
7,0.012693,0.015208,31.7601,0.9208
8,0.012000,0.012780,32.5182,0.9401
9,0.011396,0.012761,32.8195,0.9376
10,0.011067,0.012133,33.1932,0.9388
11,0.010709,0.014581,31.8896,0.9414
12,0.010364,0.011965,32.9628,0.9327
13,0.010270,0.012453,33.3291,0.9349
14,0.009867,0.011330,33.2872,0.9504
15,0.009736,0.011556,33.3110,0.9499
16,0.009616,0.011574,33.5216,0.9257
17,0.009360,0.011090,33.1472,0.9551
18,0.009214,0.011155,33.7528,0.9519
19,0.009029,0.010522,33.7970,0.9550
20,0.008886,0.010858,33.4804,0.9536
21,0.008648,0.010450,33.9298,0.9580
22,0.008532,0.010619,33.8955,0.9534
23,0.008353,0.011410,33.8276,0.9392
24,0.008311,0.012129,32.6150,0.9545
25,0.008175,0.010272,33.9859,0.9606
26,0.008071,0.011149,33.9104,0.9457
27,0.007946,0.011503,33.1863,0.9598
28,0.008006,0.010064,34.5112,0.9472
29,0.007803,0.010031,34.1606,0.9569
30,0.007819,0.009850,34.2493,0.9584
31,0.007711,0.009660,34.3610,0.9626
32,0.007654,0.009895,34.2043,0.9579
33,0.007531,0.009436,34.5303,0.9617
34,0.007432,0.009702,34.2377,0.9575
35,0.007408,0.009878,34.1946,0.9574
36,0.007434,0.009764,34.3380,0.9611
37,0.007209,0.009323,34.4097,0.9615
38,0.007181,0.009098,34.6024,0.9639
39,0.007051,0.010585,34.2869,0.9526
40,0.007128,0.009682,33.8881,0.9637
41,0.007036,0.009897,33.9392,0.9620
42,0.007025,0.009656,34.2088,0.9642
43,0.006955,0.009049,34.6650,0.9643
44,0.006883,0.009435,34.5516,0.9607
45,0.006904,0.009749,34.0837,0.9636
46,0.006840,0.009978,34.2414,0.9628
47,0.006793,0.011298,33.4599,0.9619
48,0.006697,0.009224,34.5180,0.9652
49,0.006686,0.009592,34.4932,0.9566
50,0.006112,0.008554,34.8953,0.9665
51,0.005951,0.008780,34.9505,0.9645
52,0.005965,0.008650,34.9240,0.9658
53,0.005953,0.008710,34.8456,0.9655
54,0.005897,0.008803,34.7668,0.9646
55,0.005886,0.008816,34.9958,0.9630
56,0.005901,0.008564,35.0196,0.9655
57,0.005575,0.008386,35.0918,0.9658
58,0.005510,0.008316,35.2209,0.9664
59,0.005505,0.008319,35.1722,0.9665
60,0.005471,0.008274,35.2076,0.9666
