epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.074622,0.039271,23.3756,0.8002
2,0.041639,0.040194,23.3728,0.8185
3,0.038399,0.040707,23.2429,0.8242
4,0.036553,0.038817,23.4951,0.8298
5,0.034638,0.039699,23.3840,0.8176
6,0.033581,0.040769,23.1581,0.8313
7,0.032362,0.038995,23.4106,0.8297
8,0.031364,0.038587,23.5564,0.8380
9,0.030573,0.037733,23.6673,0.8422
10,0.029973,0.037896,23.5055,0.8400
11,0.029038,0.038674,23.6580,0.8443
12,0.028165,0.038897,23.5412,0.8384
13,0.027605,0.037961,23.7482,0.8467
14,0.027009,0.036750,23.6798,0.8458
15,0.026507,0.037716,23.6943,0.8458
16,0.026020,0.036436,23.7100,0.8485
17,0.025691,0.036930,23.8501,0.8505
18,0.025062,0.036996,23.4972,0.8473
19,0.024761,0.037093,23.6999,0.8469
20,0.024364,0.036715,23.7227,0.8440
21,0.024096,0.035963,23.8371,0.8521
22,0.023744,0.037656,23.6975,0.8456
23,0.023486,0.036814,23.8439,0.8525
24,0.023269,0.036717,23.7354,0.8494
25,0.022954,0.035751,23.9568,0.8558
26,0.022644,0.035171,23.9547,0.8559
27,0.022360,0.036679,23.6030,0.8481
28,0.022270,0.035819,23.7872,0.8554
29,0.021906,0.036877,23.8340,0.8536
30,0.021659,0.035528,24.0259,0.8553
31,0.021506,0.035814,23.9720,0.8549
32,0.021334,0.036398,23.8722,0.8561
33,0.020406,0.035557,23.9203,0.8558
34,0.020296,0.035862,23.9531,0.8505
35,0.020194,0.035990,23.7935,0.8550
36,0.019979,0.035713,23.9581,0.8558
