epoch,train_loss,val_loss,val_psnr,val_ssim
1,0.030045,0.027106,26.4473,0.7964
2,0.017426,0.022757,28.3100,0.8713
3,0.014890,0.020770,29.3134,0.8865
4,0.013460,0.020103,29.5528,0.8920
5,0.012531,0.019344,30.0205,0.9029
6,0.011728,0.020540,30.0260,0.9022
7,0.011151,0.018613,30.5113,0.9051
8,0.010834,0.017769,30.7497,0.9194
9,0.010498,0.017868,30.8553,0.9198
10,0.010034,0.016453,31.2659,0.9201
11,0.009940,0.016237,31.4082,0.9260
12,0.009560,0.016746,31.2094,0.9279
13,0.009465,0.015316,31.7054,0.9269
14,0.009099,0.016225,31.5948,0.9036
15,0.008974,0.015226,31.7951,0.9261
16,0.008701,0.015452,31.6622,0.9328
17,0.008738,0.015069,31.9406,0.9368
18,0.008412,0.016537,31.5192,0.9274
19,0.008319,0.014207,32.1788,0.9417
20,0.008197,0.014638,32.0575,0.9345
21,0.008047,0.014860,31.9898,0.9406
22,0.007841,0.014130,32.2768,0.9411
23,0.007754,0.014527,32.0722,0.9446
24,0.007684,0.014116,32.2630,0.9413
25,0.007558,0.013896,32.2953,0.9450
26,0.007511,0.014318,32.2198,0.9442
27,0.007533,0.015024,31.9543,0.9403
28,0.007390,0.014039,32.3288,0.9419
29,0.007230,0.014262,32.3339,0.9423
30,0.007274,0.014028,32.2877,0.9465
31,0.007174,0.013809,32.4224,0.9462
32,0.007087,0.013699,32.5508,0.9374
33,0.007077,0.013925,32.4140,0.9449
34,0.007025,0.013809,32.4436,0.9459
35,0.007040,0.013327,32.6667,0.9483
36,0.006892,0.013822,32.4634,0.9484
37,0.006870,0.013684,32.5720,0.9464
38,0.006809,0.013415,32.6362,0.9468
39,0.006791,0.013570,32.7015,0.9475
40,0.006723,0.013515,32.6202,0.9487
41,0.006631,0.013290,32.6294,0.9501
42,0.006555,0.013160,32.7471,0.9482
43,0.006599,0.013357,32.6827,0.9497
44,0.006539,0.012937,32.7916,0.9513
45,0.006627,0.013131,32.6610,0.9491
46,0.006456,0.013200,32.7766,0.9493
47,0.006460,0.013286,32.6753,0.9506
48,0.006419,0.013097,32.7831,0.9494
49,0.006300,0.012851,32.8190,0.9499
50,0.006271,0.012616,32.9823,0.9524
51,0.006327,0.013038,32.8448,0.9469
52,0.006231,0.012950,32.8957,0.9513
53,0.006196,0.013167,32.7613,0.9507
54,0.006278,0.012901,32.7709,0.9530
55,0.006157,0.013239,32.7891,0.9490
56,0.006176,0.012808,32.9344,0.9515
57,0.005643,0.012608,32.9753,0.9534
58,0.005590,0.012732,33.0683,0.9527
59,0.005514,0.012311,33.0708,0.9543
60,0.005503,0.012315,33.1031,0.9541
